City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
ribeira grande,38.52,-28.7,61.54,73.0,97.0,4.7
punta arenas,-53.15,-70.92,41.0,80.0,20.0,13.87
wattegama,6.8,81.48,84.13,62.0,1.0,4.97
ushuaia,-54.8,-68.3,41.0,81.0,20.0,5.82
hobart,-42.88,147.33,53.69,58.0,75.0,20.8
hithadhoo,-0.6,73.08,84.69,63.0,16.0,8.7
bandrele,-12.91,45.19,80.6,88.0,20.0,5.82
new norfolk,-42.78,147.06,53.1,58.0,75.0,20.8
chuy,-33.7,-53.46,61.29,83.0,0.0,4.23
lavrentiya,65.58,-171.0,15.85,95.0,98.0,8.75
sergeyevka,53.88,67.42,40.89,68.0,1.0,8.7
mataura,-46.19,168.86,64.71,48.0,0.0,1.3
progreso,21.28,-89.67,82.51,69.0,20.0,12.75
meulaboh,4.14,96.13,84.97,68.0,80.0,2.93
vaitape,-16.52,-151.75,84.49,70.0,94.0,5.77
baijiantan,45.63,85.18,50.94,41.0,0.0,2.62
busselton,-33.65,115.33,83.57,30.0,51.0,7.25
vaini,-21.2,-175.2,80.6,65.0,20.0,8.05
albany,42.6,-73.97,37.42,60.0,75.0,13.87
richards bay,-28.78,32.04,69.22,83.0,3.0,14.29
lazaro cardenas,17.96,-102.2,74.05,82.0,0.0,1.63
kavieng,-2.57,150.8,84.43,73.0,86.0,7.45
esperance,-33.87,121.9,71.6,60.0,27.0,9.17
myitkyina,25.38,97.4,91.22,22.0,0.0,2.35
chokurdakh,70.63,147.92,24.96,96.0,39.0,15.99
cape town,-33.93,18.42,61.95,93.0,40.0,10.29
thompson,55.74,-97.86,30.2,58.0,90.0,2.24
bredasdorp,-34.53,20.04,62.6,82.0,100.0,8.05
buala,-8.14,159.59,84.04,75.0,49.0,8.41
itarema,-2.92,-39.92,78.03,86.0,100.0,3.67
rikitea,-23.12,-134.97,77.65,74.0,14.0,9.86
lebu,-37.62,-73.65,56.68,86.0,70.0,11.77
motygino,58.18,94.76,36.61,75.0,24.0,5.12
kaitangata,-46.28,169.85,63.21,52.0,0.0,5.35
ahipara,-35.17,173.17,65.34,66.0,36.0,6.89
aswan,24.09,32.91,64.4,31.0,37.0,11.41
