City,Latitude,Longitude,Hotel Name
ribeira grande,38.52,-28.7,Quinta Das Buganvílias
punta arenas,-53.15,-70.92,Patagonia B&B
wattegama,6.8,81.48,
ushuaia,-54.8,-68.3,Los Cauquenes Resort & Spa
hobart,-42.88,147.33,Hotel Grand Chancellor Hobart
hithadhoo,-0.6,73.08,Pebbles Inn
bandrele,-12.91,45.19,Hôtel Restaurant Sakouli
new norfolk,-42.78,147.06,Old Colony Inn
chuy,-33.7,-53.46,Bertelli Chuí Hotel
lavrentiya,65.58,-171.0,
sergeyevka,53.88,67.42,
mataura,-46.19,168.86,Ellie's Villa
progreso,21.28,-89.67,Playa Linda Hotel
meulaboh,4.14,96.13,Hotel Meuligoe
vaitape,-16.52,-151.75,Oa Oa Lodge
baijiantan,45.63,85.18,
busselton,-33.65,115.33,Broadwater Resort
vaini,-21.2,-175.2,Paradise First Hotel
albany,42.6,-73.97,
richards bay,-28.78,32.04,Splendid Inn Bayshore
lazaro cardenas,17.96,-102.2,Hotel de Casablanca
kavieng,-2.57,150.8,Nusa Island Retreat
esperance,-33.87,121.9,Esperance Seafront Holiday Units
myitkyina,25.38,97.4,Hotel Madira
chokurdakh,70.63,147.92,
cape town,-33.93,18.42,Atlanticview Cape Town Boutique Hotel
thompson,55.74,-97.86,Best Western Thompson Hotel & Suites
bredasdorp,-34.53,20.04,Victoria Hotel - Bredasdorp
buala,-8.14,159.59,
itarema,-2.92,-39.92,Pousada Pura Vida Club Brasil
rikitea,-23.12,-134.97,Pension Maro'i
lebu,-37.62,-73.65,Hotel Plaza Lebu
motygino,58.18,94.76,Gostinitsa Ip Zabirov
kaitangata,-46.28,169.85,
ahipara,-35.17,173.17,Ahipara Bay Motel
aswan,24.09,32.91,Sofitel Legend Old Cataract Aswan
grindavik,63.84,-22.43,Mar Guesthouse
amboasary,-25.03,46.38,DISCOVERY AMBOASARY
provideniya,64.38,-173.3,
fortuna,40.6,-124.16,THE REDWOOD RIVERWALK HOTEL
powell river,49.85,-124.54,Powell River Town Centre Hotel
fairview,40.81,-74.0,Hudson New York
jamestown,42.1,-79.24,Chautauqua Harbor Hotel
